Conductivity,pH,Turbidity,quality
261.1,7.45,66.1,bad
283.1,8.19,18.8,bad
247.7,7.41,267.0,bad
384.3,8.88,37.6,bad
390.6,7.85,42.4,bad
516.0,7.95,80.5,bad
666.0,8.17,118.0,bad
270.5,7.41,198.0,bad
392.2,8.32,65.0,bad
359.5,7.42,172.0,bad
199.2,6.75,350.0,bad
456.3,7.64,66.7,bad
553.0,7.95,56.0,bad
150.0,7.1,22.3,bad
190.0,7.4,13.1,bad
170.0,7.8,16.6,bad
207.0,7.1,22.3,bad
520.0,7.4,11.2,bad
427.0,7.5,9.3,bad
447.0,7.4,13.7,bad
405.0,7.4,6.1,bad
150.0,7.6,13.6,bad
354.0,7.6,3.7,bad
376.0,7.8,1.9,bad
484.0,7.5,6.3,good
720.0,7.7,7.8,bad
685.0,7.5,10.1,bad
597.0,7.6,6.1,bad
396.0,7.8,9.4,bad
730.0,7.4,10.3,bad
805.0,7.5,17.3,bad
849.0,7.71,3.7,good
896.0,7.66,8.21,bad
894.0,7.75,19.4,bad
843.0,7.48,25.0,bad
471.9,7.77,7.62,bad
519.0,7.41,16.1,bad
655.0,8.91,12.7,bad
686.0,7.5,11.4,bad
532.0,7.32,306.0,bad
777.0,7.23,42.2,bad
1298.0,7.26,5.22,bad
1508.0,7.25,7.87,bad
1326.0,7.33,11.2,bad
836.0,7.74,14.8,bad
900.0,7.94,14.4,bad
890.0,7.6,13.0,bad
809.0,7.4,11.1,bad
1459.0,7.97,7.38,bad
318.1,7.23,175.0,bad
252.1,7.24,72.6,bad
402.2,7.61,63.9,bad
420.9,7.62,35.9,bad
473.4,7.79,24.5,bad
339.1,7.7,29.7,bad
186.8,7.78,34.7,bad
250.0,7.41,19.5,bad
371.4,7.06,18.8,bad
220.9,7.87,45.5,bad
678.0,7.49,13.5,bad
183.0,7.48,32.7,bad
362.8,7.39,17.6,bad
206.7,7.59,48.0,bad
235.5,7.46,15.3,bad
536.0,7.11,21.0,bad
411.9,7.59,10.9,bad
210.0,7.5,14.6,bad
260.0,7.7,8.0,good
200.0,7.7,39.4,bad
310.0,8.2,6.5,bad
360.0,7.8,9.7,bad
301.0,7.9,13.3,bad
388.0,7.9,16.4,bad
364.0,7.9,12.9,bad
308.0,7.6,13.3,bad
367.0,7.9,7.9,bad
397.0,8.1,4.2,bad
421.0,7.7,6.1,bad
407.0,7.8,9.7,bad
459.0,8.1,16.9,bad
428.0,7.9,12.0,bad
372.0,8.0,11.6,bad
402.0,7.8,13.0,bad
405.6,7.77,12.5,bad
383.0,8.0,9.6,bad
463.2,7.91,49.6,bad
438.4,8.02,13.4,bad
496.8,8.06,17.5,bad
413.0,7.71,15.0,bad
402.8,7.94,9.44,bad
414.3,7.53,9.58,bad
422.4,8.23,7.84,bad
370.3,7.72,215.0,bad
430.4,7.91,9.16,bad
524.0,8.02,9.15,bad
446.4,8.12,8.84,bad
611.0,8.21,14.4,bad
480.4,8.45,16.9,bad
544.0,8.17,10.9,bad
487.3,7.81,8.12,bad
469.1,7.83,11.4,bad
333.3,8.36,18.2,bad
595.0,7.46,84.6,bad
482.5,7.51,108.0,bad
714.0,7.86,48.2,bad
693.0,7.76,36.9,bad
737.0,7.88,37.9,bad
496.7,7.64,20.2,bad
311.3,7.97,36.5,bad
343.0,8.04,15.9,bad
532.0,7.93,8.6,bad
293.3,7.64,32.5,bad
494.7,7.9,17.4,bad
273.3,7.71,52.8,bad
477.5,7.72,7.18,bad
480.0,7.73,11.2,bad
316.4,7.64,18.8,bad
403.4,7.66,5.6,bad
382.0,7.94,4.6,bad
260.0,7.4,251.0,bad
250.0,8.1,119.0,bad
310.0,7.3,31.3,bad
613.0,8.6,81.0,bad
500.0,8.3,100.0,bad
389.0,8.1,108.0,bad
276.0,7.8,195.0,bad
258.0,7.9,144.0,bad
284.0,7.9,175.0,bad
320.0,8.2,83.3,bad
177.0,8.1,218.0,bad
508.0,8.5,31.0,bad
402.0,8.3,118.0,bad
374.0,8.3,114.0,bad
320.0,8.1,94.7,bad
